epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2662,1.31043,4.34522,1.52758,0.00192,0.2,0.0048,0.00302,1.18605,4.8982,1.52597,1.429e-05,1.429e-05,1.429e-05
2,48.5556,1.22897,3.97708,1.37139,0.00189,0.2,0.01051,0.00764,1.16176,4.89298,1.48763,2.87229e-05,2.87229e-05,2.87229e-05
3,64.0425,1.48988,4.66343,1.72191,0.00284,0.3,0.03788,0.01488,1.14846,4.78814,1.45521,2.4293e-05,2.4293e-05,2.4293e-05
